1, 7.626472356198567
2, 6.203783424512294
3, 9.551426386528451
4, 9.020466572963956
5, 5.886430993148757
6, 3.775885184072851
7, 6.237662994446547
8, 9.479773456593756
9, 7.641152283652755
10, 7.532050454231834
11, 7.527448894032863
12, 6.266211077200802
13, 5.659083318660737
14, 6.163591877017084
15, 5.644519423439018
16, 5.578367910220333
17, 4.658060475216861
18, 4.953037110334894
19, 6.80081890724253
20, 5.570937428649649
21, 5.002270868268046
22, 4.538678208545573
23, 5.518681593434533
24, 4.980621379367787
25, 3.3987197969145644
26, 3.875713295438433
27, 3.8536133046533294
28, 3.7512344047483914
29, 3.8761704264482244
30, 3.426802306517112
31, 3.900138123329731
32, 3.7029551840610804
33, 3.5031381435777744
34, 3.3414589310667444
35, 3.1098375420658133
36, 3.0791356613777654
37, 2.7290346325468713
38, 3.1326210684993674
39, 2.8913340033229757
40, 2.6853384548123755
41, 2.919670468392116
42, 3.1466972200711902
43, 2.9989881373379155
44, 2.4584681286731374
45, 2.639578945639023
46, 1.630100752573585
47, 2.0417892780984985
48, 2.3885305196857747
49, 2.2668744758586397
50, 1.9911000181973226
1, 2.2674506465409157
2, 1.9451212202476365
3, 2.6161237304808043
4, 1.5486815551522435
5, 2.5457498666609637
6, 2.277464654722857
7, 1.922756813841852
8, 1.9576492784442028
9, 2.0818860385934683
10, 2.1160618953002275
11, 2.37104354502383
12, 1.6833414948666343
13, 1.712381799620373
14, 1.8826187700322055
15, 2.1325560516695954
16, 1.550897134740901
17, 1.7430937856296687
18, 1.6319371221371022
19, 1.5831533058649179
20, 1.65979593500833
21, 1.684382153136077
22, 1.653509670107391
23, 1.7144455802113843
24, 1.5608230673710566
25, 0.8428618947852484
26, 0.49301711068897675
27, -0.39164144653494043
28, -0.3085273246363729
29, -0.3543846917947272
30, -0.4381437245196519
31, -0.47465439934487386
32, -0.4911486590041107
33, -0.49664777397871523
34, -0.501061366766305
35, -0.4865420914884116
36, -0.4466513442172109
37, -0.4571710180881986
38, -0.4735341949310619
39, -0.3558147908026786
40, -0.4638046239118152
41, -0.44627896741189466
42, -0.4553565889931523
43, -0.4622274908133735
44, -0.49296234871195427
45, -0.48419750759107366
46, -0.5115422807477121
47, -0.45933207953411825
48, -0.4726974467132398
49, -0.4189600252648598
50, -0.42944756511060617
